iter	RMSE
0	15.00563229
1	14.73487299
2	14.51768432
3	14.26827458
4	14.0536309
5	13.88316054
6	13.68535884
7	13.48364677
8	13.32814294
9	13.10201867
10	12.8675818
11	12.67840872
12	12.50272739
13	12.29258286
14	12.10075627
15	11.93150004
16	11.78620549
17	11.63348322
18	11.44555118
19	11.30300158
20	11.16752791
21	11.02176285
22	10.86810114
23	10.72740053
24	10.58665018
25	10.43060195
26	10.29061917
27	10.14628402
28	10.02183121
29	9.897014426
30	9.781154326
31	9.662167605
32	9.551948357
33	9.43410387
34	9.294196006
35	9.168695497
36	9.043280515
37	8.962675774
38	8.85400445
39	8.754632462
40	8.661990274
41	8.593625041
42	8.499680629
43	8.430237847
44	8.344644148
45	8.266963213
46	8.199233672
47	8.115350309
48	8.027218883
49	7.942869599
50	7.861660909
51	7.784136475
52	7.721195694
53	7.668135239
54	7.593261266
55	7.509645516
56	7.425478303
57	7.344792487
58	7.268650611
59	7.206907948
60	7.140832306
61	7.075337886
62	7.017127853
63	6.969203087
64	6.902677922
65	6.855651772
66	6.803263511
67	6.741876751
68	6.691117975
69	6.641232358
70	6.602737898
71	6.553707679
72	6.51130983
73	6.454641695
74	6.405732045
75	6.367660597
76	6.320063742
77	6.276731596
78	6.240001595
79	6.198839957
80	6.164873833
81	6.121248406
82	6.086344905
83	6.049839322
84	6.006285877
85	5.97008561
86	5.927100069
87	5.894658461
88	5.871174064
89	5.844091883
90	5.809608165
91	5.775011753
92	5.736495935
93	5.705533348
94	5.676875027
95	5.649217345
96	5.619273611
97	5.594934116
98	5.565722094
99	5.539530257
100	5.51748333
101	5.483240059
102	5.455574108
103	5.435898584
104	5.406876495
105	5.384427554
106	5.355947901
107	5.331261736
108	5.311768124
109	5.282092953
110	5.259557037
111	5.236735468
112	5.216860419
113	5.193424124
114	5.173821264
115	5.153127621
116	5.129496035
117	5.110518094
118	5.085129604
119	5.063976637
120	5.047675477
121	5.029843127
122	5.013090472
123	4.991074075
124	4.964966884
125	4.94546184
126	4.92189293
127	4.903330122
128	4.888219582
129	4.870279346
130	4.856381668
131	4.836915295
132	4.819074877
133	4.803593649
134	4.784380351
135	4.771684954
136	4.760201346
137	4.749551881
138	4.736573631
139	4.726985615
140	4.716456799
141	4.704555026
142	4.687212485
143	4.673588808
144	4.661701625
145	4.649998072
146	4.637231526
147	4.627233091
148	4.615110892
149	4.605427907
150	4.598170156
151	4.585373954
152	4.569333455
153	4.558513521
154	4.548186019
155	4.53093963
156	4.518992862
157	4.505492089
158	4.492610028
159	4.481346998
160	4.474042575
161	4.4649334
162	4.451947001
163	4.435963054
164	4.418435922
165	4.408263008
166	4.393762518
167	4.380856034
168	4.369609505
169	4.359926824
170	4.345304523
171	4.336683495
172	4.330528892
173	4.31894021
174	4.311311556
175	4.301897492
176	4.29230288
177	4.282092546
178	4.271424963
179	4.26390849
180	4.253841094
181	4.247600417
182	4.238037714
183	4.226593236
184	4.21919645
185	4.207524687
186	4.199339641
187	4.192023245
188	4.180078888
189	4.176167863
190	4.166877097
191	4.159041898
192	4.147686049
193	4.135475593
194	4.127618359
195	4.121436155
196	4.113127543
197	4.106739958
198	4.09716767
199	4.090529193
200	4.082085858
201	4.074320797
202	4.066833877
203	4.063166776
204	4.052133597
205	4.042678158
206	4.036416769
207	4.029358227
208	4.023261761
209	4.016151021
210	4.009833838
211	4.002279684
212	3.994351682
213	3.987542866
214	3.979894072
215	3.974843924
216	3.973504888
217	3.964456302
218	3.956769844
219	3.952684734
220	3.944697437
221	3.938575614
222	3.928987078
223	3.91956888
224	3.912283476
225	3.906572467
226	3.901265861
227	3.896100902
228	3.891110389
229	3.884719235
230	3.876695826
231	3.869277258
232	3.861667153
233	3.85339295
234	3.843545147
235	3.839183048
236	3.834113602
237	3.830283761
238	3.82570256
239	3.821013414
240	3.817438682
241	3.812419368
242	3.805058934
243	3.801300139
244	3.797657022
245	3.787621841
246	3.780541482
247	3.777528183
248	3.772126605
249	3.768605126
250	3.764397229
251	3.753949655
252	3.74970856
253	3.741435813
254	3.738526658
255	3.735364056
256	3.73146513
257	3.725794045
258	3.716643504
259	3.705309754
260	3.70087127
261	3.697425507
262	3.694077369
263	3.690751869
264	3.687530254
265	3.685744955
266	3.675254022
267	3.671038551
268	3.665842492
269	3.662833397
270	3.660065117
271	3.65717644
272	3.650793028
273	3.646915427
274	3.642816222
275	3.6400307
276	3.630842348
277	3.629080194
278	3.620570576
279	3.617166792
280	3.61446835
281	3.611864889
282	3.605253151
283	3.597952496
284	3.595441873
285	3.59259446
286	3.583432797
287	3.580309823
288	3.57718023
289	3.57046302
290	3.568743419
291	3.567323672
292	3.558688663
293	3.550879102
294	3.543980824
295	3.536847238
296	3.534105199
297	3.53193164
298	3.529006271
299	3.519824457
300	3.517633016
